String,Label,CaseFold,RegRemoval,SymbolsRemoval
"""Barang siapa yang belum berniat puasa sebelum terbit fajar, maka puasanya tidak sah."" ...(HR. Tirmidzi: 662) - Berkah Melimpah Ramadhan",positive,"""barang siapa yang belum berniat puasa sebelum terbit fajar, maka puasanya tidak sah."" ...(hr. tirmidzi: 662) - berkah melimpah ramadhan","""barang siapa yang belum berniat puasa sebelum terbit fajar, maka puasanya tidak sah."" ...(hr. tirmidzi: ) - berkah melimpah ramadhan","""barang siapa yang belum berniat puasa sebelum terbit fajar, maka puasanya tidak sah."" ...(hr. tirmidzi: ) - berkah melimpah ramadhan"
"""Childfree"" dalam Sudut Pandang Feminis dan Kesehatan",positive,"""childfree"" dalam sudut pandang feminis dan kesehatan","""childfree"" dalam sudut pandang feminis dan kesehatan","""childfree"" dalam sudut pandang feminis dan kesehatan"
"""Hari ini bersyukur dan senang sekali bisa bertemu dan berdiskusi langsung dengan Pak Ganjar Pranowo,"" kata Eudia",positive,"""hari ini bersyukur dan senang sekali bisa bertemu dan berdiskusi langsung dengan pak ganjar pranowo,"" kata eudia","""hari ini bersyukur dan senang sekali bisa bertemu dan berdiskusi langsung dengan pak ganjar pranowo,"" kata eudia","""hari ini bersyukur dan senang sekali bisa bertemu dan berdiskusi langsung dengan pak ganjar pranowo,"" kata eudia"
"""Jadi nampaknya Megawati akan jadikan kasus KTP-el untuk tidak restui Ganjar capres PDIP, meski belakangan Jokowi masih mencoba usung Ganjar dengan mempertemukan Prabowo di sawah,"" ujar Muslim.",positive,"""jadi nampaknya megawati akan jadikan kasus ktp-el untuk tidak restui ganjar capres pdip, meski belakangan jokowi masih mencoba usung ganjar dengan mempertemukan prabowo di sawah,"" ujar muslim.","""jadi nampaknya megawati akan jadikan kasus ktp-el untuk tidak restui ganjar capres pdip, meski belakangan jokowi masih mencoba usung ganjar dengan mempertemukan prabowo di sawah,"" ujar muslim.","""jadi nampaknya megawati akan jadikan kasus ktp-el untuk tidak restui ganjar capres pdip, meski belakangan jokowi masih mencoba usung ganjar dengan mempertemukan prabowo di sawah,"" ujar muslim."
"""Kedatangan timnas Israel sama sekali tidak akan merugikan Palestina karena ini masalah olahraga semata,"" kata Wakil Ketua Umum PSI Andy Budiman.",positive,"""kedatangan timnas israel sama sekali tidak akan merugikan palestina karena ini masalah olahraga semata,"" kata wakil ketua umum psi andy budiman.","""kedatangan timnas israel sama sekali tidak akan merugikan palestina karena ini masalah olahraga semata,"" kata wakil ketua umum psi andy budiman.","""kedatangan timnas israel sama sekali tidak akan merugikan palestina karena ini masalah olahraga semata,"" kata wakil ketua umum psi andy budiman."
"""Lanjutkanlah makan dan minum dan janganlah kalian tertipu oleh fajar yang berbentuk garis vertikal (fajar kadzib), akan tetapi lanjutkanlah makan dan minum sampai muncul fajar yang terbentang berwarna merah (fajar shadik)."" (HR. Tirmidzi: 639) - Khilafah Ajaran Islam",positive,"""lanjutkanlah makan dan minum dan janganlah kalian tertipu oleh fajar yang berbentuk garis vertikal (fajar kadzib), akan tetapi lanjutkanlah makan dan minum sampai muncul fajar yang terbentang berwarna merah (fajar shadik)."" (hr. tirmidzi: 639) - khilafah ajaran islam","""lanjutkanlah makan dan minum dan janganlah kalian tertipu oleh fajar yang berbentuk garis vertikal (fajar kadzib), akan tetapi lanjutkanlah makan dan minum sampai muncul fajar yang terbentang berwarna merah (fajar shadik)."" (hr. tirmidzi: ) - khilafah ajaran islam","""lanjutkanlah makan dan minum dan janganlah kalian tertipu oleh fajar yang berbentuk garis vertikal (fajar kadzib), akan tetapi lanjutkanlah makan dan minum sampai muncul fajar yang terbentang berwarna merah (fajar shadik)."" (hr. tirmidzi: ) - khilafah ajaran islam"
"""Tidak satu pun pasal per pasal dari Perppu Cipta Kerja menguntungkan masyarakat kecil seperti buruh, petani, masyarakat adat, nelayan serta elemen masyarakat lainnya"" - Yayasan Lembaga Bantuan Hukum Indonesia. Baca selengkapnya:",positive,"""tidak satu pun pasal per pasal dari perppu cipta kerja menguntungkan masyarakat kecil seperti buruh, petani, masyarakat adat, nelayan serta elemen masyarakat lainnya"" - yayasan lembaga bantuan hukum indonesia. baca selengkapnya:","""tidak satu pun pasal per pasal dari perppu cipta kerja menguntungkan masyarakat kecil seperti buruh, petani, masyarakat adat, nelayan serta elemen masyarakat lainnya"" - yayasan lembaga bantuan hukum indonesia. baca selengkapnya:","""tidak satu pun pasal per pasal dari perppu cipta kerja menguntungkan masyarakat kecil seperti buruh, petani, masyarakat adat, nelayan serta elemen masyarakat lainnya"" - yayasan lembaga bantuan hukum indonesia. baca selengkapnya:"
"#8 Kontroversi Puan Maharani, Nomer 3 Pernah Singgung Warga Sumatera Barat - Harian Haluan - Harian Haluan Network #PuanMaharani",positive,"#8 kontroversi puan maharani, nomer 3 pernah singgung warga sumatera barat - harian haluan - harian haluan network #puanmaharani","# kontroversi puan maharani, nomer  pernah singgung warga sumatera barat - harian haluan - harian haluan network #puanmaharani"," kontroversi puan maharani, nomer  pernah singgung warga sumatera barat - harian haluan - harian haluan network puanmaharani"
#Ahli Epidemiologi Sebut Aturan Covid-negative9 Tak Perlu Diperketat di ... - Okezone Health #Covid #Covidnegative9,positive,#ahli epidemiologi sebut aturan covid-negative9 tak perlu diperketat di ... - okezone health #covid #covidnegative9,#ahli epidemiologi sebut aturan covid- tak perlu diperketat di ... - okezone health #covid #covid,ahli epidemiologi sebut aturan covid- tak perlu diperketat di ... - okezone health covid covid
#Analisis ungkap tingkat kematian COVID-negative9 bervariasi di seluruh AS - ANTARA #Covid #Covidnegative9,positive,#analisis ungkap tingkat kematian covid-negative9 bervariasi di seluruh as - antara #covid #covidnegative9,#analisis ungkap tingkat kematian covid- bervariasi di seluruh as - antara #covid #covid,analisis ungkap tingkat kematian covid- bervariasi di seluruh as - antara covid covid
"#antena HD-7positive7 mini,mudah di bawa kemana saja, cocok untuk nexmedia fajar_bumaye",positive,"#antena hd-7positive7 mini,mudah di bawa kemana saja, cocok untuk nexmedia fajar_bumaye","#antena hd- mini,mudah di bawa kemana saja, cocok untuk nexmedia fajar_bumaye","antena hd- mini,mudah di bawa kemana saja, cocok untuk nexmedia fajar_bumaye"
#Asean #AirPollution #trending #southeastAsia #BakarSampah #dkiJakarta #iQAir #IMF #Iphonenegative4 #ispa #kanker #COVIDnegative9 #G2positive #PolusiDosaDkiJakarta 25/positive3/2positive23 Sabtu Semoga polusi udara hari ini (weekend) jauh lbh baik dr pd hari jumat ya dki jakarta.. mari kita lagi polusi hr ini 🙏,positive,#asean #airpollution #trending #southeastasia #bakarsampah #dkijakarta #iqair #imf #iphonenegative4 #ispa #kanker #covidnegative9 #g2positive #polusidosadkijakarta 25/positive3/2positive23 sabtu semoga polusi udara hari ini (weekend) jauh lbh baik dr pd hari jumat ya dki jakarta.. mari kita lagi polusi hr ini 🙏,#asean #airpollution #trending #southeastasia #bakarsampah #dkijakarta #iqair #imf #iphone #ispa #kanker #covid #g #polusidosadkijakarta // sabtu semoga polusi udara hari ini (weekend) jauh lbh baik dr pd hari jumat ya dki jakarta.. mari kita lagi polusi hr ini 🙏,asean airpollution trending southeastasia bakarsampah dkijakarta iqair imf iphone ispa kanker covid g polusidosadkijakarta // sabtu semoga polusi udara hari ini (weekend) jauh lbh baik dr pd hari jumat ya dki jakarta.. mari kita lagi polusi hr ini 🙏
#BantuanKemanusiaanFPIKaltim FPI Kaltim Bagikan Ratusan Paket Ta'jil Ramadhan di Samarinda (25/positive3/2positive23),positive,#bantuankemanusiaanfpikaltim fpi kaltim bagikan ratusan paket ta'jil ramadhan di samarinda (25/positive3/2positive23),#bantuankemanusiaanfpikaltim fpi kaltim bagikan ratusan paket ta'jil ramadhan di samarinda (//),bantuankemanusiaanfpikaltim fpi kaltim bagikan ratusan paket ta'jil ramadhan di samarinda (//)
#BEM UI Unggah Meme Puan Maharani Kritisi Perppu Ciptaker -  #PuanMaharani,positive,#bem ui unggah meme puan maharani kritisi perppu ciptaker -  #puanmaharani,#bem ui unggah meme puan maharani kritisi perppu ciptaker -  #puanmaharani,bem ui unggah meme puan maharani kritisi perppu ciptaker -  puanmaharani
#cfnegative6 #comifuronegative6 wtb — want to buy! 🧾 — kpop (treasure & newjeans) — haikyuu — slam dunk — saiki kusuo no psi nan — spy x family (esp anya related) — kakegurui — 8loom (kalo ada :D),positive,#cfnegative6 #comifuronegative6 wtb — want to buy! 🧾 — kpop (treasure & newjeans) — haikyuu — slam dunk — saiki kusuo no psi nan — spy x family (esp anya related) — kakegurui — 8loom (kalo ada :d),#cf #comifuro wtb — want to buy! 🧾 — kpop (treasure & newjeans) — haikyuu — slam dunk — saiki kusuo no psi nan — spy x family (esp anya related) — kakegurui — loom (kalo ada :d),cf comifuro wtb — want to buy! 🧾 — kpop (treasure & newjeans) — haikyuu — slam dunk — saiki kusuo no psi nan — spy x family (esp anya related) — kakegurui — loom (kalo ada :d)
#childfree karena takut anaknya kaya lu pada,negative,#childfree karena takut anaknya kaya lu pada,#childfree karena takut anaknya kaya lu pada,childfree karena takut anaknya kaya lu pada
#Empat terdakwa korupsi anggaran COVID-negative9 di Ambon mulai ... - Elshinta #Covid #Covidnegative9,positive,#empat terdakwa korupsi anggaran covid-negative9 di ambon mulai ... - elshinta #covid #covidnegative9,#empat terdakwa korupsi anggaran covid- di ambon mulai ... - elshinta #covid #covid,empat terdakwa korupsi anggaran covid- di ambon mulai ... - elshinta covid covid
"#Gesit Tangani Covid-negative9, RS PTFI Terima 2 Penghargaan PPKM Award 2positive23 -  - Nasional  #Covid #Covidnegative9",positive,"#gesit tangani covid-negative9, rs ptfi terima 2 penghargaan ppkm award 2positive23 -  - nasional  #covid #covidnegative9","#gesit tangani covid-, rs ptfi terima  penghargaan ppkm award  -  - nasional  #covid #covid","gesit tangani covid-, rs ptfi terima  penghargaan ppkm award  -  - nasional  covid covid"
"#HILMI_FPI_Ciamis HILMI FPI Ciamis Bagikan Takjil untuk Warga dan Anak-anak di Dusun Ciroke, Desa Golat, Panumbangan (24/3/2positive23)",positive,"#hilmi_fpi_ciamis hilmi fpi ciamis bagikan takjil untuk warga dan anak-anak di dusun ciroke, desa golat, panumbangan (24/3/2positive23)","#hilmi_fpi_ciamis hilmi fpi ciamis bagikan takjil untuk warga dan anak-anak di dusun ciroke, desa golat, panumbangan (//)","hilmi_fpi_ciamis hilmi fpi ciamis bagikan takjil untuk warga dan anak-anak di dusun ciroke, desa golat, panumbangan (//)"
"#Kasus Harian Covid-negative9 di Kalteng, 24 Maret 2positive23 : Konfirmasi positive ... - MMC Kalteng #Covid #Covidnegative9",positive,"#kasus harian covid-negative9 di kalteng, 24 maret 2positive23 : konfirmasi positive ... - mmc kalteng #covid #covidnegative9","#kasus harian covid- di kalteng,  maret  : konfirmasi  ... - mmc kalteng #covid #covid","kasus harian covid- di kalteng,  maret  : konfirmasi  ... - mmc kalteng covid covid"
#kitajagakita #covidnegative9 #jagajarak Dapatkan Harian Metro edisi 25 Mac 2positive23,positive,#kitajagakita #covidnegative9 #jagajarak dapatkan harian metro edisi 25 mac 2positive23,#kitajagakita #covid #jagajarak dapatkan harian metro edisi  mac ,kitajagakita covid jagajarak dapatkan harian metro edisi  mac 
#Larangan Penyelenggaraan Buka Bersama Alasan COVID Picu Kecaman dan Dinilai Menyesatkan - DKYLB - DKYLB #Covid #Covidnegative9,positive,#larangan penyelenggaraan buka bersama alasan covid picu kecaman dan dinilai menyesatkan - dkylb - dkylb #covid #covidnegative9,#larangan penyelenggaraan buka bersama alasan covid picu kecaman dan dinilai menyesatkan - dkylb - dkylb #covid #covid,larangan penyelenggaraan buka bersama alasan covid picu kecaman dan dinilai menyesatkan - dkylb - dkylb covid covid
#LinkPajak Daftar alamat dan wilayah kerja KPP =>,positive,#linkpajak daftar alamat dan wilayah kerja kpp =>,#linkpajak daftar alamat dan wilayah kerja kpp =>,linkpajak daftar alamat dan wilayah kerja kpp =>
#LinkPajak Daftar kurs menteri keuangan =>,positive,#linkpajak daftar kurs menteri keuangan =>,#linkpajak daftar kurs menteri keuangan =>,linkpajak daftar kurs menteri keuangan =>
#LinkPajak Ingin mencari peraturan pajak? =>,positive,#linkpajak ingin mencari peraturan pajak? =>,#linkpajak ingin mencari peraturan pajak? =>,linkpajak ingin mencari peraturan pajak? =>
#penggelapanpajak #samsatsamosir #polressamosir #bripkaarfansaragih #polisibunuhdiri #sianida WAJIB PAJAK KORBAN BRIPKA ARFAN SARAGIH CS ANGKAT BIASA BICARA SOAL KERUGIAN MEREKA......  via @tribunmedan,negative,#penggelapanpajak #samsatsamosir #polressamosir #bripkaarfansaragih #polisibunuhdiri #sianida wajib pajak korban bripka arfan saragih cs angkat biasa bicara soal kerugian mereka......  via @tribunmedan,#penggelapanpajak #samsatsamosir #polressamosir #bripkaarfansaragih #polisibunuhdiri #sianida wajib pajak korban bripka arfan saragih cs angkat biasa bicara soal kerugian mereka......  via @tribunmedan,penggelapanpajak samsatsamosir polressamosir bripkaarfansaragih polisibunuhdiri sianida wajib pajak korban bripka arfan saragih cs angkat biasa bicara soal kerugian mereka......  via @tribunmedan
"#PuanMaharani #Pilpres2positive24 #TerimakasihPuanMaharani Venus INI BENERAN Puan Maharani, teladan dalam memperjuangkan hak-hak kelompok perempuan pengusaha jasa konsultan manajemen SDM internasional.",positive,"#puanmaharani #pilpres2positive24 #terimakasihpuanmaharani venus ini beneran puan maharani, teladan dalam memperjuangkan hak-hak kelompok perempuan pengusaha jasa konsultan manajemen sdm internasional.","#puanmaharani #pilpres #terimakasihpuanmaharani venus ini beneran puan maharani, teladan dalam memperjuangkan hak-hak kelompok perempuan pengusaha jasa konsultan manajemen sdm internasional.","puanmaharani pilpres terimakasihpuanmaharani venus ini beneran puan maharani, teladan dalam memperjuangkan hak-hak kelompok perempuan pengusaha jasa konsultan manajemen sdm internasional."
#Puskesmas Kutabumi Kab.Tangerang Raih Penghargaan Nasional ... -  #Covid #Covidnegative9,positive,#puskesmas kutabumi kab.tangerang raih penghargaan nasional ... -  #covid #covidnegative9,#puskesmas kutabumi kab.tangerang raih penghargaan nasional ... -  #covid #covid,puskesmas kutabumi kab.tangerang raih penghargaan nasional ... -  covid covid
#Rumah Sakit Freeport Raih Apresiasi Pemerintah Atas Penanganan ... - Pojok Papua #Covid #Covidnegative9,positive,#rumah sakit freeport raih apresiasi pemerintah atas penanganan ... - pojok papua #covid #covidnegative9,#rumah sakit freeport raih apresiasi pemerintah atas penanganan ... - pojok papua #covid #covid,rumah sakit freeport raih apresiasi pemerintah atas penanganan ... - pojok papua covid covid
"#StopBayarPajak @Kaharscahyono @DaengWahidin2 @RamliRizal @ProtesRakyat saya pamer harta dulu , udah lama saya gak bayar pajak motor mewah saya . CBR , CRF , Harley Davidson . Saya sama Adek saya sukses dan tidak bayar pajak @DitjenPajakRI @KemenkeuRI im legend hacker rich 😎",negative,"#stopbayarpajak @kaharscahyono @daengwahidin2 @ramlirizal @protesrakyat saya pamer harta dulu , udah lama saya gak bayar pajak motor mewah saya . cbr , crf , harley davidson . saya sama adek saya sukses dan tidak bayar pajak @ditjenpajakri @kemenkeuri im legend hacker rich 😎","#stopbayarpajak @kaharscahyono @daengwahidin @ramlirizal @protesrakyat saya pamer harta dulu , udah lama saya gak bayar pajak motor mewah saya . cbr , crf , harley davidson . saya sama adek saya sukses dan tidak bayar pajak @ditjenpajakri @kemenkeuri im legend hacker rich 😎","stopbayarpajak @kaharscahyono @daengwahidin @ramlirizal @protesrakyat saya pamer harta dulu , udah lama saya gak bayar pajak motor mewah saya . cbr , crf , harley davidson . saya sama adek saya sukses dan tidak bayar pajak @ditjenpajakri @kemenkeuri im legend hacker rich 😎"
"#stopbayarpajak Gaji pegawai depart keuangan lbh besar dari lembaga lain? krn tugas mrk mengumpulkan pajak rakyat / pengusaha utk masuk kas APBN secara utuh, gaji mrk besar agar tdk korupsi, tp mngkin ada oknum utk duduki jabatan pakai uang suap? Pecat! agar rakyat bayar pajak.",positive,"#stopbayarpajak gaji pegawai depart keuangan lbh besar dari lembaga lain? krn tugas mrk mengumpulkan pajak rakyat / pengusaha utk masuk kas apbn secara utuh, gaji mrk besar agar tdk korupsi, tp mngkin ada oknum utk duduki jabatan pakai uang suap? pecat! agar rakyat bayar pajak.","#stopbayarpajak gaji pegawai depart keuangan lbh besar dari lembaga lain? krn tugas mrk mengumpulkan pajak rakyat / pengusaha utk masuk kas apbn secara utuh, gaji mrk besar agar tdk korupsi, tp mngkin ada oknum utk duduki jabatan pakai uang suap? pecat! agar rakyat bayar pajak.","stopbayarpajak gaji pegawai depart keuangan lbh besar dari lembaga lain? krn tugas mrk mengumpulkan pajak rakyat / pengusaha utk masuk kas apbn secara utuh, gaji mrk besar agar tdk korupsi, tp mngkin ada oknum utk duduki jabatan pakai uang suap? pecat! agar rakyat bayar pajak."
"#TaxiDriver2Epnegativepositive Gue ga tau bakalan selamet pas balik apa nggak, tapi dokter cewe di eps ini mirip ibu puan Maharani 🙏🙏",positive,"#taxidriver2epnegativepositive gue ga tau bakalan selamet pas balik apa nggak, tapi dokter cewe di eps ini mirip ibu puan maharani 🙏🙏","#taxidriverep gue ga tau bakalan selamet pas balik apa nggak, tapi dokter cewe di eps ini mirip ibu puan maharani 🙏🙏","taxidriverep gue ga tau bakalan selamet pas balik apa nggak, tapi dokter cewe di eps ini mirip ibu puan maharani 🙏🙏"
"#youtube Kala Presiden Jokowi Bertemu Puan Maharani Setelah Megawati, Bicara soal Pemilu 2positive24",positive,"#youtube kala presiden jokowi bertemu puan maharani setelah megawati, bicara soal pemilu 2positive24","#youtube kala presiden jokowi bertemu puan maharani setelah megawati, bicara soal pemilu ","youtube kala presiden jokowi bertemu puan maharani setelah megawati, bicara soal pemilu "
