String,Label
Cocok Buu @ayutingting92,tidak bully
Cantik krn hatinya cantik,tidak bully
Cp tu tth..,tidak bully
Sukses nemplok ya nak😂,tidak bully
"Hahhahahah kalo sm yg ganteng2 nempok, nempel2, sama andika kangen band dipegang sepatunya marahnya minta ampun wkwkwk boleh pegang asal ganteng ya mbak yuuu",tidak bully
Pada sirik aja sich emangnya dia ngapain...bnyk jga arti yg foto ky bgini santai aja pada komennya kya di pantai...,tidak bully
Semoga Allah menemukan jodohmu sampai surgamu.,tidak bully
Siapa aja di tempelin,tidak bully
Pesek nya keliatan,bullying
Yu...jgn jadikan senjata hujatan sebagai bullian bisa aja akan menjadi buah dosa karena banyak masukan dn saran buat kamu jarang di tanggapi...sbgai pabligfigur yg baik jadilah contoh buat artis yg lain...,tidak bully
"Nempell sana sini teh haaduh teh,,,, 😂",tidak bully
@17081997rk iya templok sana templok sini aduhhh..aku sebenernya ngeves bgt ma ayu.tp semenjak dia diturky sama laki2 photo nemplok sana nemolok sini jd agak ilfil .😃😃😃.udah baikan ma shaheer malah itu aduh aduh,tidak bully
"iya tuh nemplok mana"" gimana tuh gak banyak haters yak 😂",tidak bully
Mesra ya mbak ayu... Cocok binggo pkek bget lg.... Tpi saya suka mbak ayu sama bg saher,tidak bully
amit2 kelakuan kyK gtu,bullying
Umrah hanya di jadikan ajang jalan jalan doang. Selesai umrah udh deh peluk sana sini lagi. 🙇,bullying
Bukan muhrim,tidak bully
Udh bobok brng tuh brp rnde tuh ups iy kn puny pil y,bullying
"Bagia betul laki2 yg dptin non ayu.....knp gitu????? Alasan nya sifat non ayu itu pengertian penyayang dan romantis ada....jgn sampe ya non jatuh di tangan yg salah...sangat d,sayangkan...klu sempat terjadi...",tidak bully
"Aku lebih suka klau ayu jdian sama ivan gunawan,aku doakan semoga ayu sama ivan gunnawan berjodoh",tidak bully
Terlalu fulgar kasihan shaher s,tidak bully
"Kapan kawin eeh nikahnya,cicip sani sini, semoga dapet yg serius ya mbak",bullying
PELAKOR JAHANAM,bullying
Saya dr dlu ngidam punya partner org turkey @ayutingting92 😍,tidak bully
Skrg jaman now..mau muhrim or gha..sikat saja yu..hahaa...sama aja kan yu...sikap manis luar dlm.eh gha tau..lbh sadis..lbh baik gtuan aja..hahaa..mau sok suci tapi kdg dri gha suci...ahahha...,bullying
Nanti ditinggal lagi 😂😂,tidak bully
Sosweet,tidak bully
Calon nya ya yu ? Cocok yu aku Amiiinkan ya,tidak bully
👍👍semoga bahagia srlalu,tidak bully
"Mbak ayu cocok,,,🤗",tidak bully
ayu kegatelan pulang umroh ko gitu,bullying
"pa kbr mba ayu,,💔 mba aq lbh sk mba sma org india kln kn da lma mba,CLBK jgn pinda hti mba",tidak bully
@mom_ayting92_ cepet halalin bu kalow udah cocok biar GA ada pitnah .,tidak bully
Enakan sma kak ivan gunawan yuk ayuk🤨🤨🤨,tidak bully
Loh.... Loh... Kok pel nempel..... Kayak prangko,tidak bully
Lebih sweety kalo sama ka igun ka @ayutingting92 😟,tidak bully
Murahannnn anjinggg gatau diri,bullying
LONTE. BINAL,bullying
PELAKOR SOK IMUT,bullying
Dasar kamu kaki tangan iblis alias setan,bullying
jijik banget,bullying
Ssseett dah kaya lonte parung,bullying
jangan dengar omongan orang maju terus apalagi ayu semakin cantik,tidak bully
Tampang dajjal iblis yang gigi taringnya menyeringai siap menyedot air mani perjaka di kasur kelak di Neraka memek si pelacur Jalang depok akan disodok besi panas membara,bullying
Cantik ayu pnts aj igun tergila gila SM ayu,tidak bully
Ud berumur tp masih cantik dan badannya ga kalah sama yg muda,tidak bully
"apapun yg org katakan, ayu ttp pujaanku",tidak bully
"Sabar yah yu, jgn dengerin orang yg gak suka, karna udh pasti ada yg suka dan tidak, yg tidak suka kita doain yg suka alhamdulillah",tidak bully
Tampang artis alay dan norak!!,bullying
Janda cantik nih,tidak bully
sok cantik lu najiss,bullying
Cari sensasi.. Ouyyy,tidak bully
muna lu tuir..!! Sok suci lu tuir!! Jijik liat lu,bullying
Diiiihhhh jgn sok cantik deh kalo cm bsa ngambil n jadi perebut suami org,bullying
woi pelacur anjing,bullying
"pelacur iya, pelakor juga iya",bullying
"Dasar PERUSAK RUMAH TANGGA ORANG, perebut kebahagiaan orang lain",bullying
alisnya jlek banget dah,tidak bully
jijik sumpah liat muka ayu,bullying
comelnya sayang akuuuuu,tidak bully
selalu Cantik dan MEMUKAU,tidak bully
norak,bullying
apaansih ,tidak bully
muka setan,bullying
Cantik ayu pnts aj igun tergila gila SM ayu,tidak bully
Ud berumur tp masih cantik dan badannya ga kalah sama yg muda,tidak bully
"apapun yg org katakan, ayu ttp pujaanku",tidak bully
