,Label,clean_text,String,encoded_label
0,positive,video cerita kei savourie childfree komplain tipis,"VIDEO: Cerita Kei Savourie Jadi Childfree, Sempat Dapat Komplain Tipis",1.0
1,positive,alasan keputusan childfree,Apa yang Jadi Alasan di Balik Keputusan Menjadi Childfree?,1.0
2,negative,benar benar biadab orang indo kayaknya normalize childfree deh tidak anak dilahirin pas gede anak sampah masyarakat mirip rt ekadwiarianto convomfs kejadian kemarin jum at pagi habis subuh jam 5 2 remaja berboncengan dikejar segerombolan motor didekat samsat kota jogja berhasil lolos lari temannya jatuh langsung dikeroyok kondisi korban kritis rs sardjito yogyakarta,"Bener-bener biadab, orang Indo kayaknya harus mulai normalize childfree deh karena nggak semua anak yang dilahirin pas gede jadi anak baik, ada juga yang cuma jadi sampah masyarakat kayak mereka ini RT @ekadwiarianto: @convomfs Kejadian baru kemarin Jum'at pagi habis subuh sekitar jam 5 lebih 2 remaja berboncengan dikejar segerombolan motor didekat Samsat kota Jogja yang satu berhasil lolos & lari tapi temannya jatuh dan langsung dikeroyok , kondisi korban sekarang kritis di RS Sardjito Yogyakarta",0.0
3,positive,ken nikah di mana adat sunda betawi jawa batak khas western arab megah megahan pls pls nikah saja secepatnya nikah i ll be a good housewife childfree tidak apa-apa,Ken kamu mau nikah dimana adat apa sunda betawi jawa batak khas western arab yang megah megahan aku mau kok semuanya asal sama kamu pls pls nikah aja secepatnya kalau bisa hari ini juga kita nikah I'll be a good housewife mau childfree atau enggak gapapa.,1.0
4,negative,yang mak bapaknya tidak childfree saja sih ngelahirin generasi sampah kek gini rt ekadwiarianto convomfs kejadian kemarin jum at pagi habis subuh jam 5 2 remaja berboncengan dikejar segerombolan motor didekat samsat kota jogja berhasil lolos lari temannya jatuh langsung dikeroyok kondisi korban kritis rs sardjito yogyakarta,"yg begini kenapa mak bapaknya dulu ga childfree aja sih? daripada ngelahirin generasi sampah kek gini RT @ekadwiarianto: @convomfs Kejadian baru kemarin Jum'at pagi habis subuh sekitar jam 5 lebih 2 remaja berboncengan dikejar segerombolan motor didekat Samsat kota Jogja yang satu berhasil lolos & lari tapi temannya jatuh dan langsung dikeroyok , kondisi korban sekarang kritis di RS Sardjito Yogyakarta",0.0
5,negative,seandainya karno childfree negara rt democrazymedia kinerjanya diragukan publik puan maharani anak megawati cucu karno anugerah tuhan,"Seandainya dulu bung karno childfree Pasti negara ini akan lebih baik. RT @democrazymedia: Kinerjanya Diragukan Publik, Jawaban Puan Maharani: Saya Anak Megawati dan Cucu Bung Karno, Itu Anugerah Tuhan",0.0
6,positive,is okay dipanggil childfree memang usia tidak bohong,"sedang meyakinkan diri sendiri bahwa is okay dipanggil ""ibu"" walaupun childfree 🤣. emang usia ga bisa bohong 😭",1.0
7,positive,childfree hallelujah happysaturday pettymom,😜 #ChildFree Hallelujah 🤣🤣🤣 #HappySaturday #PettyMom,1.0
8,negative,saranku childfree saja daripada hobi ngentot tetapi tidak tanggungjawab mendidik anaknya dengan terus sekolah yang disalahkan karena anaknya bobrok padahal anak sih tbh tidak orgtua dengan pemikiran kaya gini yang temuin sekolah astagfirullah sabar rt jirrijellyjilli bebyalpaca kegblgnunfaedh orang tua tahu bikin anak saja tidak ada tanggung mengharap ke mana pendidikan menjalani pendidikan mengubah pola pikir anak bagus 2 nya pengajaran,"Saranku childfree aja drpd hobi ngentot tp ngga mau tanggungjawab mendidik anakny dg baik, trus sekolah yg disalahkan krn anaknya sendiri bobrok. Pdhl itu anak siapa sih? Tbh, ga satu dua orgtua dg pemikiran kaya gini yg aku temuin di sekolah. Astagfirullah sabar. RT @jirrijellyjilli: @bebyalpaca @kegblgnunfaedh Karena banyak orang tua yang cuma tau bikin anak doang dan gaada tanggung jawab , mau ngarep kemana dong? jelas ke pendidikan , apakah dengan menjalani pendidikan dengan baik dapat mengubah pola pikir anak ? jelas bisa . Tapi bagus kalau 2”nya sama” memberi pengajaran yang baik.",0.0
9,negative,kalau benar nikah shohei tidak jadi childfree saya gaboonk,Kalo beneran nikah sama shohei gajadi childfree gw gaboonk,0.0
