,Label,String,clean_text,encoded_label
0,positive,"VIDEO: Cerita Kei Savourie Jadi Childfree, Sempat Dapat Komplain Tipis",video cerita kei savourie childfree komplain tipis,1
1,positive,Apa yang Jadi Alasan di Balik Keputusan Menjadi Childfree?,alasan keputusan childfree,1
2,negative,"Bener-bener biadab, orang Indo kayaknya harus mulai normalize childfree deh karena nggak semua anak yang dilahirin pas gede jadi anak baik, ada juga yang cuma jadi sampah masyarakat kayak mereka ini RT @ekadwiarianto: @convomfs Kejadian baru kemarin Jum'at pagi habis subuh sekitar jam 5 lebih 2 remaja berboncengan dikejar segerombolan motor didekat Samsat kota Jogja yang satu berhasil lolos & lari tapi temannya jatuh dan langsung dikeroyok , kondisi korban sekarang kritis di RS Sardjito Yogyakarta",benar benar biadab orang indo kayaknya normalize childfree deh tidak anak dilahirin pas gede anak sampah masyarakat mirip rt ekadwiarianto convomfs kejadian kemarin jum at pagi habis subuh jam 5 2 remaja berboncengan dikejar segerombolan motor didekat samsat kota jogja berhasil lolos lari temannya jatuh langsung dikeroyok kondisi korban kritis rs sardjito yogyakarta,0
3,positive,Ken kamu mau nikah dimana adat apa sunda betawi jawa batak khas western arab yang megah megahan aku mau kok semuanya asal sama kamu pls pls nikah aja secepatnya kalau bisa hari ini juga kita nikah I'll be a good housewife mau childfree atau enggak gapapa.,ken nikah di mana adat sunda betawi jawa batak khas western arab megah megahan pls pls nikah saja secepatnya nikah i ll be a good housewife childfree tidak apa-apa,1
4,negative,"yg begini kenapa mak bapaknya dulu ga childfree aja sih? daripada ngelahirin generasi sampah kek gini RT @ekadwiarianto: @convomfs Kejadian baru kemarin Jum'at pagi habis subuh sekitar jam 5 lebih 2 remaja berboncengan dikejar segerombolan motor didekat Samsat kota Jogja yang satu berhasil lolos & lari tapi temannya jatuh dan langsung dikeroyok , kondisi korban sekarang kritis di RS Sardjito Yogyakarta",yang mak bapaknya tidak childfree saja sih ngelahirin generasi sampah kek gini rt ekadwiarianto convomfs kejadian kemarin jum at pagi habis subuh jam 5 2 remaja berboncengan dikejar segerombolan motor didekat samsat kota jogja berhasil lolos lari temannya jatuh langsung dikeroyok kondisi korban kritis rs sardjito yogyakarta,0
5,negative,"Seandainya dulu bung karno childfree Pasti negara ini akan lebih baik. RT @democrazymedia: Kinerjanya Diragukan Publik, Jawaban Puan Maharani: Saya Anak Megawati dan Cucu Bung Karno, Itu Anugerah Tuhan",seandainya karno childfree negara rt democrazymedia kinerjanya diragukan publik puan maharani anak megawati cucu karno anugerah tuhan,0
6,positive,"sedang meyakinkan diri sendiri bahwa is okay dipanggil ""ibu"" walaupun childfree 🤣. emang usia ga bisa bohong 😭",is okay dipanggil childfree memang usia tidak bohong,1
7,positive,😜 #ChildFree Hallelujah 🤣🤣🤣 #HappySaturday #PettyMom,childfree hallelujah happysaturday pettymom,1
8,negative,"Saranku childfree aja drpd hobi ngentot tp ngga mau tanggungjawab mendidik anakny dg baik, trus sekolah yg disalahkan krn anaknya sendiri bobrok. Pdhl itu anak siapa sih? Tbh, ga satu dua orgtua dg pemikiran kaya gini yg aku temuin di sekolah. Astagfirullah sabar. RT @jirrijellyjilli: @bebyalpaca @kegblgnunfaedh Karena banyak orang tua yang cuma tau bikin anak doang dan gaada tanggung jawab , mau ngarep kemana dong? jelas ke pendidikan , apakah dengan menjalani pendidikan dengan baik dapat mengubah pola pikir anak ? jelas bisa . Tapi bagus kalau 2”nya sama” memberi pengajaran yang baik.",saranku childfree saja daripada hobi ngentot tetapi tidak tanggungjawab mendidik anaknya dengan terus sekolah yang disalahkan karena anaknya bobrok padahal anak sih tbh tidak orgtua dengan pemikiran kaya gini yang temuin sekolah astagfirullah sabar rt jirrijellyjilli bebyalpaca kegblgnunfaedh orang tua tahu bikin anak saja tidak ada tanggung mengharap ke mana pendidikan menjalani pendidikan mengubah pola pikir anak bagus 2 nya pengajaran,0
9,negative,Kalo beneran nikah sama shohei gajadi childfree gw gaboonk,kalau benar nikah shohei tidak jadi childfree saya gaboonk,0
10,positive,"Mengapa sih resesi seks & childfree dihindari banyak negara. Faktor utamanya ya tetep karena alasan ekonomi, misalnya untuk menjaga inflasi, upah, &amp; labour productivity, at the end ya economy growth.",sih resesi seks childfree dihindari negara faktor utamanya ya tetap alasan ekonomi menjaga inflasi upah amp labour productivity at the end ya economy growth,1
11,positive,"Menuju childfree dengan sendirinya. RT @hendratno64: Di saat negara lain banyak yg turun, Indonesia justru naik dlm hal: laki-laki yg merokok, dari 63,8% (2positivepositivepositive) menjadi 7negative,4% (2positive22), persentase tertinggi di dunia. (Sumber: WHO via WB via OWID, 2/6/2positive22) @KemenkesRI @blogdokter @berlianidris @dr_koko28 @AdamPrabata @tirta_cipeng",childfree rt hendratno64 negara yang turun indonesia dalam laki laki yang merokok 63 8 2positivepositivepositive 7negative 4 2positive22 persentase tertinggi dunia sumber who via wb via owid 2 6 2positive22 kemenkesri blogdokter berlianidris dr_koko28 adamprabata tirta_cipeng,1
12,positive,"Halo warga twitter, saya Jati R.A mahasiswi S-negative FISIPOL UGM 2positivenegative9. Saat ini saya sedang melakukan penelitian tugas akhir mengenai fenomena childfree di tengah-tengah konstruksi sistem keluarga tradisional di Indonesia.",halo warga twitter jati r a mahasiswi s negative fisipol ugm 2positivenegative9 penelitian tugas fenomena childfree konstruksi sistem keluarga tradisional indonesia,1
13,negative,"Sering Dianggap Sama, Ini Beda Childfree dan Childless",dianggap beda childfree childless,0
14,negative,Yang kayak gini nih bikin buat childfree aja,mirip gini nih bikin childfree saja,0
15,positive,"Ngeliat Park Shin Hye abis melahirkan ""apa itu childfree""",ngeliat park shin hye habis melahirkan childfree,1
16,negative,Dia no childfree tp masih keliatan muda njaaaayy RT @unmagnetism: hari ini w menemukan fakta bcl umurnya udah 4positive ajgg,nomor childfree tetapi kelihatan muda njaaaayy rt unmagnetism w menemukan fakta bcl umurnya sudah 4positive ajgg,0
17,positive,Iklan dukungan gerakan #childfree RT @txtdrorangsusah: iklan layanan pil kb,iklan dukungan gerakan childfree rt txtdrorangsusah iklan layanan pil kb,1
18,positive,gue masi gangerti sm org2 yg ngehate gitasav cuma grgr dia childfree as if indo isnt already overpopulated enough,saya masi gangerti sama orang-orang yang ngehate gitasav grgr childfree as if indo isnt already overpopulated enough,1
19,positive,VIDEO: Sudah Siapkah Indonesia dengan Konsep Childfree?,video siapkah indonesia konsep childfree,1
