,Label,String,clean_text,encoded_label
0,positif,JUAL MAKANAN ANJING (DOG FOOD) HAPPY DOG MURAH HARGA PROMO,jual makanan anjing dog food happy dog murah harga promo,1
1,positif,JUAL GROSIR MAKANAN ANJING MAKANAN KUCING UNTUK PETSHOP,jual grosir makanan anjing makanan kucing petshop,1
2,positif,Jangan mentang-mentang lu anak Gaul. Pas dikejar anjing bukannya lari malah bilang 'terus Gue harus kabur sambil bilang wow gitu?',mentang mentang kamu anak gaul pas dikejar anjing lari bilang saya kabur bilang wow begitu,1
3,negatif,"Males itu kalo kerja pagi trus gak ada yg nganter, anjing",males kalau kerja pagi terus tidak yang antar anjing,0
4,negatif,Pagi ini cuma mau panggil anjing aja buat elo yang naik motornya ugal ugalan.,pagi panggil anjing saja kamu motornya ugal ugalan,0
5,positif,"Mau tanya, hukumya org Islam pelihara anjing? Kan byk kalangan artis yg plihara?",hukumya orang islam pelihara anjing banyak kalangan artis yang plihara,1
6,positif,Cuma karena anjing... okay,anjing okay,1
7,negatif,sok geulis anjing,sok geulis anjing,0
8,positif,Cokelat merupakan racun bagi anjing dan kucing.,cokelat racun anjing kucing,1
9,negatif,anjing jg lo ler,anjing juga kamu ler,0
10,positif,Wah aku memelihara anjing n kucing nih,memelihara anjing n kucing nih,1
11,positif,"So Sweet, Pemain Ini Gendong Anjing Pengganggu Laga",so sweet pemain gendong anjing pengganggu laga,1
12,positif,Anak anjing jantan sengaja membuat anak anjing betina menang ketika mereka sedang bermain,anak anjing jantan sengaja anak anjing betina menang bermain,1
13,positif,Sesama anjing putih berantem,anjing putih bertengkar,1
14,negatif,kesel deh pagi2 anjing ku masa mau gigit perban kakiku,kesal deh pagi2 anjing aku gigit perban kakiku,0
15,negatif,Lancau anjing.. stressnya aku..,lancau anjing stressnya,0
16,positif,"Pada Mei 2007, Mourinho sempat ditangkap karena diduga menghalangi Polisi yang hendak mengkarantina anjing peliharaannya",mei 2007 mourinho ditangkap diduga menghalangi polisi mengkarantina anjing peliharaannya,1
17,positif,Pria Asal China Tewas karena Selfie dengan Anjing Laut,pria china tewas selfie anjing laut,1
18,positif,"Mana yang lebih lucu, anak anjing atau anak kucing?",lucu anak anjing anak kucing,1
19,positif,Di New Jersey dari Department of Corrections melatih anjing untuk mengendus ponsel tersembunyi.,new jersey department of corrections melatih anjing mengendus ponsel tersembunyi,1
20,negatif,"Tadinya mau beli anjing buat jadi temen. Tapi, udah banyak temen yang pada kaya anjing",beli anjing teman sudah teman kaya anjing,0
21,negatif,nyepam bgt anjing,nyepam sangat anjing,0
22,positif,anjing emang ganggu ya gonggong terus huf,anjing memang ganggu ya gonggong huf,1
23,negatif,Dulu sih sayang sayangan udah putus eh anjing anjingan,sih sayang sayangan sudah putus eh anjing anjingan,0
24,positif,Cokelat dan kismis  dapat membunuh anjing.,cokelat kismis membunuh anjing,1
25,negatif,Anjing tolol ini ikut2an ngomongin kepercayaan orang lain dasar tolol urus saja kepercayaan kau kasian Deh.,anjing tolol ikut2an membicarakan kepercayaan orang dasar tolol urus kepercayaan kamu kasihan deh,0
26,positif,"Baru kali ini jogging di sini, dan pas di jalan baru sadar di sini banyak anjing berkeliaran",kali jogging pas jalan sadar anjing berkeliaran,1
27,positif,Pengen anjing kayak gini sayang,pengen anjing mirip gini sayang,1
28,negatif,Hp rusak anjing ah,hp rusak anjing ah,0
29,negatif,Si anjing jualan obat.. wkwk,si anjing jualan obat wkwk,0
30,positif,"Penyakit anjing gila atau Rabies :penyakit yang menyerang anjing, kucing, kera dll",penyakit anjing gila rabies penyakit menyerang anjing kucing kera dan lain lain,1
31,positif,"Kehadiran orang baru, anjing atau kucing baru, di sebuah rumah dapat menyebabkan seekor kucing menjadi stres.",kehadiran orang anjing kucing rumah menyebabkan seekor kucing stres,1
32,positif,Anjing yang menggonggong biasanya tidak menggigit. Orang yang banyak bicara biasanya tidak bisa bekerja.,anjing menggonggong menggigit orang bicara,1
33,positif,"lu dan aku kayak anjing dan kucing. Yang satu setia, yang satu gampang manja sama siapa aja.",kamu mirip anjing kucing setia gampang manja saja,1
34,positif,"Hyena tidak terkait dengan anjing, mereka jauh lebih terkait erat dengan kucing.",hyena terkait anjing terkait erat kucing,1
35,negatif,nyawa lebih penting dari pada kaca anjing,nyawa kaca anjing,0
36,negatif,Woyy Anjing! TOLOL mulu mirip KONTOLKU!!!,woyy anjing tolol terus kontolku,0
37,negatif,ANJING!! AKUN TOLOL,anjing akun tolol,0
38,positif,anjing aing palanya habis bocor berantem sama anjing kampung rebutan cewe,anjing aing palanya habis bocor bertengkar anjing kampung rebutan cewek,1
