,Label,String,clean_text,encoded_label
0,tidak bully,Cocok Buu @ayutingting92,cocok buu <USERNAME>,1
1,tidak bully,Cantik krn hatinya cantik,cantik karena hatinya cantik,1
2,tidak bully,Cp tu tth..,cp itu tth,1
3,tidak bully,Sukses nemplok ya nak😂,sukses nemplok ya nak,1
4,tidak bully,"Hahhahahah kalo sm yg ganteng2 nempok, nempel2, sama andika kangen band dipegang sepatunya marahnya minta ampun wkwkwk boleh pegang asal ganteng ya mbak yuuu",hahhahahah kalau sama yang ganteng2 nempok nempel2 andika kangen band dipegang sepatunya marahnya ampun wkwkwk pegang ganteng ya mbak yuuu,1
5,tidak bully,Pada sirik aja sich emangnya dia ngapain...bnyk jga arti yg foto ky bgini santai aja pada komennya kya di pantai...,sirik saja sich memangnya ngapain banyak juga arti yang foto ky begini santai saja komennya kya pantai,1
6,tidak bully,Semoga Allah menemukan jodohmu sampai surgamu.,semoga allah menemukan jodohmu surgamu,1
7,tidak bully,Siapa aja di tempelin,saja tempelin,1
8,bullying,Pesek nya keliatan,pesek nya kelihatan,0
9,tidak bully,Yu...jgn jadikan senjata hujatan sebagai bullian bisa aja akan menjadi buah dosa karena banyak masukan dn saran buat kamu jarang di tanggapi...sbgai pabligfigur yg baik jadilah contoh buat artis yg lain...,yu jangan jadikan senjata hujatan bullian saja buah dosa masukan dan saran jarang tanggapi sebagai pabligfigur yang contoh artis yang,1
10,tidak bully,"Nempell sana sini teh haaduh teh,,,, 😂",nempell teh haaduh teh,1
11,tidak bully,@17081997rk iya templok sana templok sini aduhhh..aku sebenernya ngeves bgt ma ayu.tp semenjak dia diturky sama laki2 photo nemplok sana nemolok sini jd agak ilfil .😃😃😃.udah baikan ma shaheer malah itu aduh aduh,<USERNAME> iya templok templok aduhhh sebenarnya ngeves sangat ma ayu tetapi semenjak diturky laki2 photo nemplok nemolok jadi ilfil sudah baikan ma shaheer aduh aduh,1
12,tidak bully,"iya tuh nemplok mana"" gimana tuh gak banyak haters yak 😂",iya tuh nemplok gimana tuh tidak haters yak,1
13,tidak bully,Mesra ya mbak ayu... Cocok binggo pkek bget lg.... Tpi saya suka mbak ayu sama bg saher,mesra ya mbak ayu cocok binggo pkek sangat lagi tetapi suka mbak ayu bagi saher,1
14,bullying,amit2 kelakuan kyK gtu,amit2 kelakuan seperti begitu,0
15,bullying,Umrah hanya di jadikan ajang jalan jalan doang. Selesai umrah udh deh peluk sana sini lagi. 🙇,umrah jadikan ajang jalan jalan saja selesai umrah sudah deh peluk,0
16,tidak bully,Bukan muhrim,muhrim,1
17,bullying,Udh bobok brng tuh brp rnde tuh ups iy kn puny pil y,sudah tidur brng tuh berapa rnde tuh ups iya kan puny pil y,0
18,tidak bully,"Bagia betul laki2 yg dptin non ayu.....knp gitu????? Alasan nya sifat non ayu itu pengertian penyayang dan romantis ada....jgn sampe ya non jatuh di tangan yg salah...sangat d,sayangkan...klu sempat terjadi...",bagia laki2 yang dptin non ayu kenapa begitu alasan nya sifat non ayu pengertian penyayang romantis jangan sampai ya non jatuh tangan yang salah di sayangkan kalau,1
19,tidak bully,"Aku lebih suka klau ayu jdian sama ivan gunawan,aku doakan semoga ayu sama ivan gunnawan berjodoh",suka kalau ayu jdian ivan gunawan doakan semoga ayu ivan gunnawan berjodoh,1
20,tidak bully,Terlalu fulgar kasihan shaher s,fulgar kasihan shaher s,1
21,bullying,"Kapan kawin eeh nikahnya,cicip sani sini, semoga dapet yg serius ya mbak",kawin eeh nikahnya cicip sani semoga dapat yang serius ya mbak,0
22,bullying,PELAKOR JAHANAM,pelakor jahanam,0
23,tidak bully,Saya dr dlu ngidam punya partner org turkey @ayutingting92 😍,dari dulu idam partner orang turkey <USERNAME>,1
24,bullying,Skrg jaman now..mau muhrim or gha..sikat saja yu..hahaa...sama aja kan yu...sikap manis luar dlm.eh gha tau..lbh sadis..lbh baik gtuan aja..hahaa..mau sok suci tapi kdg dri gha suci...ahahha...,sekarang jaman now muhrim or gha sikat yu hahaa saja yu sikap manis dalam eh gha tahu lebih sadis lebih gtuan saja hahaa sok suci kdg dari gha suci ahahha,0
25,tidak bully,Nanti ditinggal lagi 😂😂,ditinggal,1
26,tidak bully,Sosweet,sosweet,1
27,tidak bully,Calon nya ya yu ? Cocok yu aku Amiiinkan ya,calon nya ya yu cocok yu amiiinkan ya,1
28,tidak bully,👍👍semoga bahagia srlalu,semoga bahagia srlalu,1
29,tidak bully,"Mbak ayu cocok,,,🤗",mbak ayu cocok,1
30,bullying,ayu kegatelan pulang umroh ko gitu,ayu kegatelan pulang umroh ko begitu,0
31,tidak bully,"pa kbr mba ayu,,💔 mba aq lbh sk mba sma org india kln kn da lma mba,CLBK jgn pinda hti mba",bapak kabar mba ayu mba saya lebih sk mba sma orang india kln kan da lma mba clbk jangan pinda hati mba,1
32,tidak bully,@mom_ayting92_ cepet halalin bu kalow udah cocok biar GA ada pitnah .,<USERNAME> cepat halalin bu kalow sudah cocok biar tidak pitnah,1
33,tidak bully,Enakan sma kak ivan gunawan yuk ayuk🤨🤨🤨,enakan sma kak ivan gunawan yuk ayo,1
34,tidak bully,Loh.... Loh... Kok pel nempel..... Kayak prangko,loh loh pel nempel mirip prangko,1
35,tidak bully,Lebih sweety kalo sama ka igun ka @ayutingting92 😟,sweety kalau ka igun ka <USERNAME>,1
36,bullying,Murahannnn anjinggg gatau diri,murahannnn anjinggg gatau,0
37,bullying,LONTE. BINAL,lonte binal,0
38,bullying,PELAKOR SOK IMUT,pelakor sok imut,0
39,bullying,Dasar kamu kaki tangan iblis alias setan,dasar kaki tangan iblis alias setan,0
40,bullying,jijik banget,jijik sekali,0
41,bullying,Ssseett dah kaya lonte parung,ssseett sudah kaya lonte parung,0
42,tidak bully,jangan dengar omongan orang maju terus apalagi ayu semakin cantik,dengar omongan orang maju ayu cantik,1
